Project,Package,Module,Class,LOC,WMC,NOM,NOPM,NOF,NOPF,LCOM,Fan-In,Fan-Out,DIT,File
dataset,dataset.mava.mava.systems.sac.anakin,ff_isac,,411,3,4,4,0,0,0,0,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/sac/anakin/ff_isac.py
dataset,dataset.mava.mava.systems.ppo.anakin,rec_ippo,,586,4,4,4,0,0,0,0,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/rec_ippo.py
dataset,dataset.mava.mava.systems.ppo.anakin,ff_ippo,,446,3,4,4,0,0,0,0,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_ippo.py
dataset,dataset.mava.mava.systems.ppo.anakin,ff_mappo,,434,3,4,4,0,0,0,0,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/systems/ppo/anakin/ff_mappo.py
dataset,dataset.mava.mava.advanced_usage,ff_ippo_store_experience,,534,6,4,4,5,5,0,0,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/advanced_usage/ff_ippo_store_experience.py
dataset,dataset.mava.mava.utils,checkpointing,,77,10,0,0,1,1,-1,5,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py
dataset,dataset.mava.mava.utils,checkpointing,Checkpointer,77,10,4,3,1,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/mava/mava/utils/checkpointing.py
dataset,dataset.codespell.codespell_lib,_spellchecker,,36,9,2,2,1,1,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_spellchecker.py
dataset,dataset.codespell.codespell_lib,_spellchecker,Misspelling,8,1,1,0,3,3,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_spellchecker.py
dataset,dataset.codespell.codespell_lib,_codespell,,1015,178,20,15,15,12,0,1,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,QuietLevels,8,0,0,0,7,7,-1,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,GlobMatch,5,2,2,1,0,0,1,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,TermColors,15,2,2,1,4,4,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,Summary,14,4,3,1,0,0,1,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,FileOpener,90,19,6,5,4,4,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib,_codespell,NewlineHelpFormatter,15,3,1,0,0,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/_codespell.py
dataset,dataset.codespell.codespell_lib.tests,test_dictionary,,175,33,9,7,20,16,0.44,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_dictionary.py
dataset,dataset.codespell.codespell_lib.tests,test_basic,,933,63,37,36,1,1,0.86,1,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py
dataset,dataset.codespell.codespell_lib.tests,test_basic,MainWrapper,20,5,1,1,0,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/codespell/codespell_lib/tests/test_basic.py
dataset,dataset.maltrail.core,settings,,315,124,10,9,105,105,0.5,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/settings.py
dataset,dataset.maltrail.core,addr,,52,16,7,7,0,0,0.29,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/addr.py
dataset,dataset.maltrail.core,colorized,,35,11,1,1,1,1,0,1,1,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/colorized.py
dataset,dataset.maltrail.core,colorized,ColorizedStream,31,9,3,2,5,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/colorized.py
dataset,dataset.maltrail.core,log,,234,76,9,9,5,0,0.22,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/log.py
dataset,dataset.maltrail.core,update,,353,132,5,3,2,1,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/update.py
dataset,dataset.maltrail.core,common,,232,77,15,15,1,0,0.73,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/core/common.py
dataset,dataset.maltrail.trails.feeds,badips,,12,6,1,1,5,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/badips.py
dataset,dataset.maltrail.trails.feeds,torproject,,10,5,1,1,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/torproject.py
dataset,dataset.maltrail.trails.feeds,dataplane,,12,6,1,1,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/dataplane.py
dataset,dataset.maltrail.trails.feeds,alienvault,,16,6,2,2,4,0,0,0,0,0,/home/luis-chaves/Área de trabalho/tcc/multi-agent-smell-detector/dataset/maltrail/trails/feeds/alienvault.py
